,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2020-06-09,0.07,0.0,10.786666666666667,-0.247,257330.53333333335,0.017,21435516.67032967,0.091,-51880.73333333333,0.6689999999999999
2020-06-10,0.08,14.285999999999998,10.76,-0.247,257373.6,0.017,21454970.230769232,0.091,-52225.7,0.6649999999999999
2020-06-11,0.08,0.0,10.733333333333333,-0.248,257416.6666666667,0.017,21474423.791208792,0.091,-52570.666666666664,0.661
2020-06-12,0.08,0.0,10.706666666666667,-0.248,257459.73333333334,0.017,21493877.351648353,0.091,-52915.63333333333,0.656
2020-06-13,0.08,0.0,10.68,-0.249,257502.80000000002,0.017,21513330.912087914,0.091,-53260.6,0.652
2020-06-14,0.08,0.0,10.653333333333332,-0.25,257545.86666666667,0.017,21532784.472527474,0.09,-53605.566666666666,0.6479999999999999
2020-06-15,0.09,12.5,10.626666666666667,-0.25,257588.93333333335,0.017,21552238.03296703,0.09,-53950.53333333333,0.644
2020-06-16,0.09,0.0,10.6,-0.251,257632.0,0.017,21571691.593406595,0.09,-54295.5,0.639
2020-06-17,0.09,0.0,10.573333333333332,-0.252,257675.06666666668,0.017,21591145.153846152,0.09,-54640.46666666667,0.635
2020-06-18,0.09,0.0,10.546666666666667,-0.252,257718.13333333336,0.017,21610598.714285713,0.09,-54985.433333333334,0.631
2020-06-19,0.09,0.0,10.52,-0.253,257761.2,0.017,21630052.274725273,0.09,-55330.4,0.627
2020-06-20,0.09,0.0,10.493333333333332,-0.253,257804.2666666667,0.017,21649505.835164834,0.09,-55675.36666666667,0.623
2020-06-21,0.09,0.0,10.466666666666667,-0.254,257847.33333333334,0.017,21668959.395604394,0.09,-56020.333333333336,0.62
2020-06-22,0.08,-11.111,10.44,-0.255,257890.40000000002,0.017,21688412.956043955,0.09,-56365.3,0.616
2020-06-23,0.08,0.0,10.413333333333332,-0.255,257933.46666666667,0.017,21707866.516483516,0.09,-56710.26666666666,0.612
2020-06-24,0.08,0.0,10.386666666666667,-0.256,257976.53333333335,0.017,21727320.076923076,0.09,-57055.23333333333,0.608
2020-06-25,0.08,0.0,10.36,-0.257,258019.60000000003,0.017,21746773.637362637,0.09,-57400.2,0.605
2020-06-26,0.08,0.0,10.333333333333332,-0.257,258062.6666666667,0.017,21766227.197802197,0.089,-57745.166666666664,0.601
2020-06-27,0.08,0.0,10.306666666666667,-0.258,258105.73333333337,0.017,21785680.758241758,0.089,-58090.13333333333,0.597
2020-06-28,0.08,0.0,10.28,-0.259,258148.80000000002,0.017,21805134.31868132,0.089,-58435.1,0.594
2020-06-29,0.08,0.0,10.253333333333332,-0.259,258191.8666666667,0.017,21824587.87912088,0.089,-58780.066666666666,0.59
2020-06-30,0.08,0.0,10.226666666666667,-0.26,258234.93333333335,0.017,21844041.43956044,0.089,-59125.03333333333,0.587
2020-07-01,0.08,0.0,10.2,-0.261,258278.00000000003,0.017,21863495.0,0.089,-59470.0,0.583
2020-07-02,0.09,12.5,10.141935483870967,-0.569,258314.54838709682,0.013999999999999999,21867323.641304348,0.018000000000000002,-59558.67741935484,0.149
2020-07-03,0.09,0.0,10.083870967741936,-0.573,258351.09677419357,0.013999999999999999,21871152.282608695,0.018000000000000002,-59647.354838709674,0.149
2020-07-04,0.09,0.0,10.025806451612903,-0.5760000000000001,258387.64516129036,0.013999999999999999,21874980.923913043,0.018000000000000002,-59736.032258064515,0.149
2020-07-05,0.09,0.0,9.96774193548387,-0.579,258424.19354838712,0.013999999999999999,21878809.56521739,0.018000000000000002,-59824.709677419356,0.148
2020-07-06,0.09,0.0,9.909677419354837,-0.583,258460.7419354839,0.013999999999999999,21882638.20652174,0.017,-59913.3870967742,0.148
2020-07-07,0.09,0.0,9.851612903225806,-0.586,258497.29032258067,0.013999999999999999,21886466.847826086,0.017,-60002.06451612903,0.148
2020-07-08,0.09,0.0,9.793548387096774,-0.5890000000000001,258533.83870967745,0.013999999999999999,21890295.489130434,0.017,-60090.74193548387,0.148
2020-07-09,0.09,0.0,9.735483870967741,-0.5930000000000001,258570.3870967742,0.013999999999999999,21894124.13043478,0.017,-60179.41935483871,0.148
2020-07-10,0.09,0.0,9.67741935483871,-0.596,258606.935483871,0.013999999999999999,21897952.77173913,0.017,-60268.096774193546,0.147
2020-07-11,0.09,0.0,9.619354838709677,-0.6,258643.48387096776,0.013999999999999999,21901781.413043477,0.017,-60356.77419354839,0.147
2020-07-12,0.09,0.0,9.561290322580644,-0.604,258680.03225806454,0.013999999999999999,21905610.054347824,0.017,-60445.45161290323,0.147
2020-07-13,0.09,0.0,9.503225806451614,-0.607,258716.5806451613,0.013999999999999999,21909438.695652176,0.017,-60534.12903225806,0.147
2020-07-14,0.09,0.0,9.44516129032258,-0.611,258753.1290322581,0.013999999999999999,21913267.336956523,0.017,-60622.8064516129,0.146
2020-07-15,0.1,11.111,9.387096774193548,-0.615,258789.67741935485,0.013999999999999999,21917095.97826087,0.017,-60711.48387096774,0.146
2020-07-16,0.1,0.0,9.329032258064515,-0.619,258826.22580645164,0.013999999999999999,21920924.61956522,0.017,-60800.16129032258,0.146
2020-07-17,0.09,-10.0,9.270967741935484,-0.622,258862.7741935484,0.013999999999999999,21924753.260869566,0.017,-60888.83870967742,0.146
2020-07-18,0.09,0.0,9.212903225806452,-0.626,258899.32258064518,0.013999999999999999,21928581.902173914,0.017,-60977.51612903226,0.146
2020-07-19,0.09,0.0,9.154838709677419,-0.63,258935.87096774194,0.013999999999999999,21932410.54347826,0.017,-61066.1935483871,0.145
2020-07-20,0.1,11.111,9.096774193548388,-0.634,258972.41935483873,0.013999999999999999,21936239.18478261,0.017,-61154.87096774193,0.145
2020-07-21,0.1,0.0,9.038709677419355,-0.638,259008.96774193548,0.013999999999999999,21940067.826086957,0.017,-61243.54838709677,0.145
2020-07-22,0.09,-10.0,8.980645161290322,-0.642,259045.51612903227,0.013999999999999999,21943896.467391305,0.017,-61332.22580645161,0.145
